timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-22 20:45:10,"Apple offers customers new ways to shop for iPhone 12, iPhone 12 Pro, and iPad Air https://t.co/Cf0o5uo1E6 #Companies https://t.co/eQQT8822Zi #Apple #offers #customers #new #ways #to #shop #for #iPhone #12 #iPhone #12 #Pro #and #iPad #Air #  26",b'poandpo',"['Companies', 'Apple', 'offers', 'customers', 'new', 'ways', 'to', 'shop', 'for', 'iPhone', 'iPhone', 'Pro', 'and', 'iPad', 'Air']",3447
2020-10-22 20:45:10,Apple Watch User Guide &amp; Tutorial! (Apple Watch Basics!) https://t.co/u5jMdyRzMT #AppleWatch #AppleWatchSeries5 #AppleWatch5 #Apple #iPhone #watchOS #iWatch #Tutorial #AppleWatchSeries #AppleWatchSeries6 #AppleWatchSE #technology,b'TechInRL',"['AppleWatch', 'AppleWatchSeries5', 'AppleWatch5', 'Apple', 'iPhone', 'watchOS', 'iWatch', 'Tutorial', 'AppleWatchSeries', 'AppleWatchSeries6', 'AppleWatchSE', 'technology']",1309
2020-10-22 20:45:05,Argentina doubles its apple exports to Brazil https://t.co/qZZqPS5LKs #Agrifish https://t.co/eQQT8822Zi #Argentina #doubles #its #apple #exports #to #Brazil #  534,b'poandpo',"['Agrifish', 'Argentina', 'doubles', 'its', 'apple', 'exports', 'to', 'Brazil']",3447
2020-10-22 20:44:00,So What's your excuse? https://t.co/SoW37ACbEb #funny #memes #Humor #apple #google #amazon #disney https://t.co/k2rVxOeraJ,b'gag_bee',"['funny', 'memes', 'Humor', 'apple', 'google', 'amazon', 'disney']",557
2020-10-22 20:42:20,A fruit picking fruit 🍎🏳️‍🌈 #Apple #ApplePicking #Fall #GoBucks https://t.co/CWCJnltN1v,b'Javiplatano',"['Apple', 'ApplePicking', 'Fall', 'GoBucks']",997
2020-10-22 20:41:15,@realdonaldtrump feat. @PaulDorfmeister on #spotify:  https://t.co/qxFbQDX3BK…  #love #covid #instagram #like #instagood #Apple #summer #follow #art #fashion #music #coronavirus #photooftheday #quarantine #life #happy #k #stayhome #new #nature #o #memes  #beautiful #likeforlikes,b'PastaRhymes1',"['spotify', 'love', 'covid', 'instagram', 'like', 'instagood', 'Apple', 'summer', 'follow', 'art', 'fashion', 'music', 'coronavirus', 'photooftheday', 'quarantine', 'life', 'happy', 'k', 'stayhome', 'new', 'nature', 'o', 'memes', 'beautiful', 'likeforlikes']",88
2020-10-22 20:40:20,"Does anybody, that uses the Apple calendar, know how to get it to use  the alias and not the default email address when creating a new event ? #Apple #iphone #Calendar",b'thedrumlife',"['Apple', 'iphone', 'Calendar']",1013
2020-10-22 20:40:19,👉Year 2016 #Apple removed Headphone Jack 👉Year 2020 #Apple removed #Charger and #AirPods  👉Year 2025 Apple may remove #iPhone coz you already have one and they want to save environment. 🌲🍁🌲🌳 🤭🤣 #iPhone12,b'insearch_ajit',"['Apple', 'Apple', 'Charger', 'AirPods', 'iPhone', 'iPhone12']",174
2020-10-22 20:39:23,@realdonaldtrump feat. @PaulDorfmeister on #spotify:  https://t.co/BjWSkvApMD…  #love #covid #instagram #like #instagood #Apple #summer #follow #art #fashion #music #coronavirus #photooftheday #quarantine #life #happy #k #stayhome #new #nature #o #memes  #beautiful #likeforlikes,b'PaulDorfmeister',"['spotify', 'love', 'covid', 'instagram', 'like', 'instagood', 'Apple', 'summer', 'follow', 'art', 'fashion', 'music', 'coronavirus', 'photooftheday', 'quarantine', 'life', 'happy', 'k', 'stayhome', 'new', 'nature', 'o', 'memes', 'beautiful', 'likeforlikes']",1131
2020-10-22 20:39:21,"I am mad at Apple TV for doing this, this was a traditional thing to watch these with family every year, least there going free on Apple TV but it’s more of a hassle to plug a iPad up to a tv.  Guess it’s time to find &amp; buy the dvd movies. #AppleTV #Apple https://t.co/DGMlOF1gLm https://t.co/IpraaNIFLf",b'Jadenfire',"['AppleTV', 'Apple']",312
2020-10-22 20:39:08,"I don't think #apple phones are cut out for Canadian weather. Both #iphones I've had turn off when the temperature is less than 10 degrees C. Not -10, 10. When I return inside, it comes back to life and the battery says 50%.",b'tabray',"['apple', 'iphones']",94
2020-10-22 20:38:43,I am using #TradeUP. Check out #Apple (AAPL). Price 197.15. https://t.co/RooJSDH3CY,b'erinlynn1976',"['TradeUP', 'Apple']",44
2020-10-22 20:38:24,oOoOoOo new fancam who dis🍏❤️ #GFRIEND #APPLE #YERIN https://t.co/uF73t5b2TK,b'itz_yarin',"['GFRIEND', 'APPLE', 'YERIN']",66
2020-10-22 20:37:32,"In celebration of its 10th birthday, #Instagram is currently letting users switch home screen icons to retro and colorful variations.  It, rather coincidentally seemed to appear soon after #Apple’s #iOS14 aesthetic home screen trend, and I, for one, am not complaining. https://t.co/TekUHe5xnh",b'UELukeT',"['Instagram', 'Apple', 'iOS14']",766
2020-10-22 20:37:14,"#AllFemaleCrew #FemaleCrew #movies  #Oscars2020 Contender #femaledirector #womandirector #directedbyagirl #likeagirl #girlpower #femaleempowerment #femalefounder #NewMusic #NewMovie #iTunes 🍎 #Apple #AppleTV #AppleMusic  +google, youtube, Vimeo  https://t.co/RUA0eQOcme @Medium https://t.co/iRE8EdX7rp",b'CaliLiliIndies',"['AllFemaleCrew', 'FemaleCrew', 'movies', 'Oscars2020', 'femaledirector', 'womandirector', 'directedbyagirl', 'likeagirl', 'girlpower', 'femaleempowerment', 'femalefounder', 'NewMusic', 'NewMovie', 'iTunes', 'Apple', 'AppleTV', 'AppleMusic']",5586
2020-10-22 20:37:14,this year's iphones turn into fridge magnets. Very cool  #Apple #innovation #flagship @MKBHD @UnboxTherapy,b'husban_syed',"['Apple', 'innovation', 'flagship']",5
2020-10-22 20:36:59,Listen to new music on #spotify:  https://t.co/BjWSkvApMD  #love #covid #instagram #like #instagood #Apple  #summer #follow #art #fashion #music #coronavirus #photooftheday #quarantine #life #a #happy #k #stayhome #new #nature #o #memes #style #beautiful #likeforlikes #corona,b'PaulDorfmeister',"['spotify', 'love', 'covid', 'instagram', 'like', 'instagood', 'Apple', 'summer', 'follow', 'art', 'fashion', 'music', 'coronavirus', 'photooftheday', 'quarantine', 'life', 'a', 'happy', 'k', 'stayhome', 'new', 'nature', 'o', 'memes', 'style', 'beautiful', 'likeforlikes', 'corona']",1131
2020-10-22 20:36:43,"I uploaded my #ios14 #icons inspired by the old rainbow #apple logo on gumroad! First 10 people who use ""fze24uo"" code will receive a 10% off on the price! go go go! https://t.co/RV9lWEa3rd  #iPhone12 #iPhone12Pro #ios14homescreen #iphone #custom #TikTok #leaked #gumroad #10off https://t.co/NrwiSnCMGB",b'_g4bbooo',"['ios14', 'icons', 'apple', 'iPhone12', 'iPhone12Pro', 'ios14homescreen', 'iphone', 'custom', 'TikTok', 'leaked', 'gumroad', '10off']",0
2020-10-22 20:36:30,AppleTV+ will be available on PS5 https://t.co/oXk1ur52xn #apple #tech,b'khateeb321',"['apple', 'tech']",2674
2020-10-22 20:35:52,"#Apple pushes out #iOS14.1, #iMovie updates, and more #ArsTechnica   @arstechnica https://t.co/Poq8pRj5yu",b'darrenculbreath',"['Apple', 'iOS14', 'iMovie', 'ArsTechnica']",1746
2020-10-22 20:35:44,"#Apple on Thursday seeded the fourth #watchOS7.1 beta to registered developers, about a week after releasing the last build of the beta.  https://t.co/YbGBepX4TY https://t.co/qwwqqKK1os",b'appleinsider',"['Apple', 'watchOS7']",518586
2020-10-22 20:34:35,#Apple seeds fourth beta of #watchOS 7.1 to developers.,b'i0s1q',"['Apple', 'watchOS']",690
2020-10-22 20:34:17,Finally I've created my shop on @gumroad! Please follow me if you have a Gumroad account and don't miss the special discount until #Halloween2020  https://t.co/gotldMZDhc  #ios14homescreen #iOS14 #gumroad #icons #apple #AppleEvent,b'FerdiCildiz',"['Halloween2020', 'ios14homescreen', 'iOS14', 'gumroad', 'icons', 'apple', 'AppleEvent']",881
