timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-25 19:32:40,#Huawei Cloud WeLink for macOS is coming https://t.co/49HJjzkBIG,b'TechnologyNow3',['Huawei'],544
2020-10-25 19:26:12,My @HuaweiPhils #HuaweiMatebook14 challenge audition video on #TikTok with @raymondgutz #RaymondGutierrez. #HUAWEIMate40 #Huawei https://t.co/esZK11yPpL,b'iracalaunan',"['HuaweiMatebook14', 'TikTok', 'RaymondGutierrez', 'HUAWEIMate40', 'Huawei']",40
2020-10-25 19:18:20,I wish I could get some dislikes on my video.... you can’t make it til you have some haters! https://t.co/1jkBKib4qa. #watch #Subscribe #Huawei #iphone,b'MansBes06952354',"['watch', 'Subscribe', 'Huawei', 'iphone']",23
2020-10-25 19:15:44,"#HuaweiY9a is designed for quick charging speed. https://t.co/9VEpWjdWS3 With 40W HUAWEI SuperCharge, you can charge up its battery efficiently, restoring nearly 70% power in 30 minutes.  #Huawei #HuaweiY9aPrice @HuaweiPK @Huawei_Europe @HuaweiUSA @HuaweiUK #MobileDevices https://t.co/heurmO2PQ8",b'mobiledevicesPK',"['HuaweiY9a', 'Huawei', 'HuaweiY9aPrice', 'MobileDevices']",1275
2020-10-25 19:11:12,"@AmbLiuXiaoMing @HSBC_UK HSBC should do more good to China-UK economic cooperation, not try to play smart on the issue about Meng Wanzhou, CFO of #Huawei.",b'gyagyagya10',['Huawei'],2
2020-10-25 19:05:19,Will reports about #Huawei's tech support for the #UyghurGenocide yet prove biggest hurdle to growth? https://t.co/GTeYhcGQWA https://t.co/yPlRBs7B8Y,b'RLAT5G',"['Huawei', 'UyghurGenocide']",168
2020-10-25 18:55:36,#Huawei Launches Stunning New Strike At Google To Beat Android https://t.co/la9bHNQoRS by @@ukzak,b'peterjmsimons',['Huawei'],742
2020-10-25 18:47:25,#Huawei quietly spent months racing to stockpile critical radio chips ahead of #Trump #administration #sanctions   @NutritiousMind @smaksked  @ShiCooks @postoff25 @RagusoSergio @Dahl_Consult @Victoryabro @DrJDrooghaag @treasadovander  https://t.co/nkTWmsPiZb via @technology,b'techpearce2',"['Huawei', 'Trump', 'administration', 'sanctions']",24398
2020-10-25 18:26:40,"The 4 days online training by #Huawei global CSR flagship program“#Seedsforthefuture2020”covered different ICT topics over a course of 12+hours of live streaming sessions, mandatory and elective courses; ultimately to enlighten our #Egyptianyouth talents on #digitaltransformation https://t.co/qsqC7WBMOg",b'huawei_eg',"['Huawei', 'Seedsforthefuture2020', 'Egyptianyouth', 'digitaltransformation']",3573
2020-10-25 18:00:53,"Want to get yourself elected? Order voting papers with candidacy ""pre-voted"" from Alibaba.  Order before #Christmas and they might even throw in remotely-controllable #Huawei transceivers and WiFi network, #MiruSystems' ""simple vote counters"" with WiFi capacity as a package deal. https://t.co/G9pMATBfm6",b'pressthepress3',"['Christmas', 'Huawei', 'MiruSystems']",8
2020-10-25 17:57:07,Photo By @oemanuelcosta 🔴 In... com... plete! 🎶 .  #Rainbow #HuaweiP40Pro #HuaweiPortugal #Huawei #LoveMyHuawei  #HuaweiMobilePT #PortugalEmClicks  #Olho_Portugues #Visual_Square #PortugalComEfeitos #Sharing_Portugal  #CapturedOnHuawei #MobilePhotography #MobileShots #Focus_… https://t.co/WlpL1ptl0v,b'AzoresWhatElse',"['Rainbow', 'HuaweiP40Pro', 'HuaweiPortugal', 'Huawei', 'LoveMyHuawei', 'HuaweiMobilePT', 'PortugalEmClicks', 'Olho_Portugues', 'Visual_Square', 'PortugalComEfeitos', 'Sharing_Portugal', 'CapturedOnHuawei', 'MobilePhotography', 'MobileShots', 'Focus_']",1164
2020-10-25 17:56:05,Vancouver real estate: buyer takes $7 million lot next to $13 million Shaughnessy mansion of Huawei’s Meng Wanzhou https://t.co/dTq53FPpbY @Hutchyman @ZealtySearch @bobmackin @mtnbvan @VancouverEye @MarlaGilsig @juliamarblefaun @conmcginley @vanreanalyst #vanre #Huawei #5G,b'carlitopablo',"['vanre', 'Huawei', '5G']",4049
2020-10-25 17:53:47,HUAWEI P40 Pro Plus 5G CN Version 6.58 inch 50MP Penta Rear Camera 8GB 512GB NFC 40W Fast Charge Wireless Charge Kirin 990 5G Octa Core Smartphone. https://t.co/UhKlUVBGVq #smartphones #Huawei #smartphone_huawei_p30 #huawei_phones #mobile https://t.co/yKizaV1niL,b'naeem2255',"['smartphones', 'Huawei', 'smartphone_huawei_p30', 'huawei_phones', 'mobile']",764
2020-10-25 17:36:36,"@Alam_Chaudry @Jkylebass @SecPompeo @AbiyAhmedAli #Huawei was never mentioned by #US as a big threat before 2013, because #NSA&amp; #CIA could #hack into it than. But when #Snowden disclosed this, Huawei become so safer that no govt could hack into. That's why US ban it now, not for it's unsafe, but for it's too safe to control.",b'GabryWuhanese',"['Huawei', 'US', 'NSA', 'CIA', 'hack', 'Snowden']",3
2020-10-25 17:32:48,#Huawei wants to build a supply chain inside China https://t.co/wZTQie5Tqo,b'TechnologyNow3',['Huawei'],544
2020-10-25 17:31:41,"Orange’s #Huawei-built #cloud is currently used by the European Space Agency and car-marker PSA. Just days before Richard’s call with analysts, Orange signed a cloud deal with Google. https://t.co/kBVw2morZG",b'DeuterTokomak',"['Huawei', 'cloud']",255
2020-10-25 17:30:30,Sonniger Herbst Sunny autumn #photography #fotografie #naturephotography #naturfotografie #huawei #oberbayern #bavaria https://t.co/S4iHPNqRds,b'MakulasW',"['photography', 'fotografie', 'naturephotography', 'naturfotografie', 'huawei', 'oberbayern', 'bavaria']",117
2020-10-25 17:28:34,Huawei P30 lite. Visit here for more details https://t.co/CEINfDW0WG  #bdpriceanalysis #Bangladesh #Huawei #Huaweip30 #Mobile https://t.co/jUU3DkxW4W,b'AnalysisPrice',"['bdpriceanalysis', 'Bangladesh', 'Huawei', 'Huaweip30', 'Mobile']",0
2020-10-25 17:24:56,"#Huawei was never mentioned by #USgovt as a big threat before 2013, because #NSA&amp; #CIA could #hack into it than. But when #Snowden disclosed this, Huawei become so safer that no govt could hack into. That's why #US ban it now, not for it's unsafe, but for it's too safe to control",b'GabryWuhanese',"['Huawei', 'USgovt', 'NSA', 'CIA', 'hack', 'Snowden', 'US']",3
2020-10-25 17:10:28,💰 Soft TPU Phone Case For Huawei P20 P30 Pro Mate 20 30 Lite Pro Honor 10 10i... is now selling at $8.78 💰 https://t.co/7wkrqHWC0h  #Huawei #cute_phone_cases #TouchyStyleCases https://t.co/rybQx5BnK9,b'TouchyStyle',"['Huawei', 'cute_phone_cases', 'TouchyStyleCases']",2468
2020-10-25 16:48:19,"Huawei Launches Stunning New Strike At Google To Beat Android. #Android #Google #Huawei @verge  Personally I believe Google has not actually meet good competitor in terms of market and designs.""Good competitions drive great success and great products."" https://t.co/wt8SAtccFv https://t.co/Fdg2ZWXpTi",b'lordgift01',"['Android', 'Google', 'Huawei']",93
2020-10-25 16:30:06,"JUST IN Chinese Media: After #Huawei's Mate 40 series sells out in 28 seconds in pre-order, some Chinese consumers say they are willing to offer at least 1,000 yuan more than the official price to grab one.",b'mehabecapital',['Huawei'],893
2020-10-25 16:30:00,"After #Huawei's Mate 40 series sells out in 28 seconds in pre-order, some Chinese consumers say they are willing to offer at least 1,000 yuan more than the official price to grab one. https://t.co/TvmVkeU9xN",b'GlobalTimesBiz',['Huawei'],13165
2020-10-25 16:24:33,Petal Maps || Huawei's Alternative Application To Google Maps Has Emerged https://t.co/eVrjY2xKfY #Huawei #HuaweiConnect #HUAWEIMate40Pro #HuaweiFreebudsPro #petalmaps #Google #GoogleMaps #Map #Application #technology #TECH4ALL #technews #tehnologijaviews https://t.co/GZh2VJGCkF,b'zaviewsteam',"['Huawei', 'HuaweiConnect', 'HUAWEIMate40Pro', 'HuaweiFreebudsPro', 'petalmaps', 'Google', 'GoogleMaps', 'Map', 'Application', 'technology', 'TECH4ALL', 'technews', 'tehnologijaviews']",1
2020-10-25 16:22:40,@HuaweiMobile Where is brown color? Brown should be only color for all #Huawei devices,b'bzm8AjhxJ2dY2Fu',['Huawei'],2
2020-10-25 16:21:53,More Huawei   #HUAWEIMate40Series  #HUAWEIMate40Pro #Huawei https://t.co/hguahGLbqH,b'guglani_paras',"['HUAWEIMate40Series', 'HUAWEIMate40Pro', 'Huawei']",399
2020-10-25 16:12:02,#Huawei Launches 🚀 Stunning New Strike At Google To Beat #Android  https://t.co/FCTTqmysxb via @ForbesTech #harmonyos #petalsearch #search #apps #Mate40Pro #technology #technews https://t.co/ALsFu32Mqt,b'24k',"['Huawei', 'Android', 'harmonyos', 'petalsearch', 'search', 'apps', 'Mate40Pro', 'technology', 'technews']",46735
2020-10-25 16:10:16,On 30th October there is another #Huawei Event Launching New Products   #HUAWEIMate40 Event !   Telegram: https://t.co/omRvb6msHN,b'guglani_paras',"['Huawei', 'HUAWEIMate40']",399
2020-10-25 16:04:14,@CarolineGlick No wonder the massive push from the left for early voting! No wonder @realDonaldTrump pushback to protect America from #CCP #5G #Huawei with backdoor spy capability... No wonder the massive #CCP influence in #Hollywood and on Capitol Hill #WakeUpAmerica #Trump2020 https://t.co/IpeyTjc2x3,b'BeyondLove2010',"['CCP', '5G', 'Huawei', 'CCP', 'Hollywood', 'WakeUpAmerica', 'Trump2020']",195
2020-10-25 15:50:04,#DAYDREAM now supported #samsung #moto #huawei https://t.co/DwArcfbxqu,b'standard3d',"['DAYDREAM', 'samsung', 'moto', 'huawei']",1958
2020-10-25 15:27:40,Huawei Watch GT 2 Pro v10.1.2.12 update brings continuous SpO2 monitoring - #Huawei #News #Watch #WatchGT2Pro https://t.co/X87G0jE16K,b'Huawei_Update',"['Huawei', 'News', 'Watch', 'WatchGT2Pro']",961
2020-10-25 15:09:23,"I dreamt mom came to visit me here in the village. She brought me lots of food. In fact, she was looking very healthy. Thanks be to God for her life. Ernest Agbada offline. #MertonCouncil #StHelier #Racism #Huawei #MentalHeath #Discrimination #capitalism #Blacklivesmatters #Cr4 https://t.co/7qTfbC7OaM",b'AgbadaHonfii',"['MertonCouncil', 'StHelier', 'Racism', 'Huawei', 'MentalHeath', 'Discrimination', 'capitalism', 'Blacklivesmatters', 'Cr4']",26
2020-10-25 15:05:28,@Farm_84 @Jenni4Canesten If you love the #huawei you are gonna love this! Huawei Mate 40 Pro UNVEILED! iPhone 12 and Galaxy S20 Killer? https://t.co/1jkBKib4qa,b'MansBes06952354',['huawei'],23
2020-10-25 14:38:12,@EE @bt_uk who needs 5G when you get 4G speeds like this? 🤣😂🤣😂 Although it would be interesting to see what I can get on 5G #huaweip40pro #huawei #fast4g,b'fastfastmike',"['huaweip40pro', 'huawei', 'fast4g']",148
2020-10-25 14:35:39,"#Huawei revenue growth is slowing sharply, in a sign that the #Trump administration’s squeeze campaign is working.  #Huawei results indicate revenue in the third quarter grew 3.7%, compared with 9.9% for the first nine months of the year",b'srinicaps',"['Huawei', 'Trump', 'Huawei']",438
2020-10-25 14:09:29,@noahbarkin @peteraltmaier Glad to see 🇩🇪 catching up with the global trend in sidelining #huawei in 5G development.  This can safeguard citizen privacy and national security. No country would want any sensitive conversation to be eavesdropped by #ccpChina.  #CleanNetwork is trending. #BanHuawei now! https://t.co/LlRPITL10J,b'f1r2e3e4H5K6',"['huawei', 'ccpChina', 'CleanNetwork', 'BanHuawei']",377
2020-10-25 13:59:27,"#WeekendWonders: “Every step you take, and every move you make.” Multiple musical notes Multiple musical notes Multiple musical notes  Camera by Yang Ting with #Huawei P20 Pro  #ArtInTech #HelloLife #NextImageAwards #Piano #music https://t.co/rqDSz0Ryx2",b'HuaweiAPAC',"['WeekendWonders', 'Huawei', 'ArtInTech', 'HelloLife', 'NextImageAwards', 'Piano', 'music']",11915
2020-10-25 13:52:25,Did #Huawei ever #invent anything? https://t.co/2PiKoT2SvI,b'JUSTTHETRUTHTV',"['Huawei', 'invent']",56
2020-10-25 13:29:32,"NCSC Director William Evanina, 4.6.2019. #turpo #säkpol #Huawei #5G https://t.co/t4uLA3CeHf https://t.co/H78qNzm2bb",b'ViktorRantala',"['turpo', 'säkpol', 'Huawei', '5G']",1421
2020-10-25 13:19:48,"Huawei's next generation firewalls. Stateful inspection, application awareness and more. #Huawei #next #generation #firewall #Awareness #inspection #Application https://t.co/0YRj9kDSRJ",b'MAH95116579',"['Huawei', 'next', 'generation', 'firewall', 'Awareness', 'inspection', 'Application']",3
2020-10-25 13:10:03,Mate Flip ~ FIRST LOOK 😍😍 #Huawei #GalaxyZFlip #Technology https://t.co/0tLZMXconr,b'TechScoreNY',"['Huawei', 'GalaxyZFlip', 'Technology']",4883
2020-10-25 13:09:24,#Huawei may soon bring out a foldable phone similar to #SamsungGalaxyZFlip with the clamshell folding design. The patent was noted by #TigerMobiles.  #Samsung #samsunggalaxy #TechVerit https://t.co/uEihG82beA,b'TechVerit',"['Huawei', 'SamsungGalaxyZFlip', 'TigerMobiles', 'Samsung', 'samsunggalaxy', 'TechVerit']",16
2020-10-25 13:08:50,"#HuaweiFact Today’s #Huawei founder Ren Zhengfei’s 76th birthday. He spent more than 30 yrs turning a tiny equipment reseller into a smartphone giant, a leader in 5G and China’s No. 1 tech co. by sales. Yet Ren’s past year was unforgettable in a wrong way. (1/2)",b'GaoYuan86',"['HuaweiFact', 'Huawei']",2329
2020-10-25 12:57:20,HUAWEI Mate Xs CN Version 8 inch Foldable 40MP Quad Rear Camera 8GB 512GB NFC Kirin 990 5G Octa Core Smartphone. https://t.co/F64KUu4dXR #Xiaomi #huaweimobile #Huawei_Honor #sonymobile #aovmobile #mobilesneakers #huawei #samsung #iphone #tablet #Apple #Mobile #Phone #Accessories https://t.co/sjKIi2Y8u9,b'naeem2255',"['Xiaomi', 'huaweimobile', 'Huawei_Honor', 'sonymobile', 'aovmobile', 'mobilesneakers', 'huawei', 'samsung', 'iphone', 'tablet', 'Apple', 'Mobile', 'Phone', 'Accessories']",764
2020-10-25 12:56:45,"HUAWEI Mate 40, Mate 40 Pro, and Mate 40 Pro+ announced with 90Hz OLED screen, Kirin 9000 5G  SoC https://t.co/uh5jXa6K1D  #Huawei #HUAWEIMate40 #HUAWEIMate40Pro #HUAWEIMate40Series",b'techntechonly',"['Huawei', 'HUAWEIMate40', 'HUAWEIMate40Pro', 'HUAWEIMate40Series']",88
2020-10-25 12:54:55,Disarm Oxford criticises Oxford Careers Fair for allowing #armsindustry and #Huawei stalls. One anonymous campaigner said that these decisions “cannot in conscience be described as apolitical or impartial.”  https://t.co/Sn3m7RTnSJ,b'TheOxStu',"['armsindustry', 'Huawei']",12342
